id,question,item_type,endDate,time_remaining_minutes,time_remaining_str,outcomes,outcomePrices,clobTokenIds,conditionId,volumeNum,liquidityNum,category,active,closed,acceptingOrders,slug,description
166353,Bitcoin above ___ on January 22?,event,2026-01-22T17:00:00Z,,,,,,,,,,True,True,,bitcoin-above-on-january-22,"This market will resolve to ""Yes"" if the Binance 1 minute candle for BTC/USDT 12:00 in the ET timezone (noon) on the date specified in the title has a final ""Close"" price higher than the price specified in the title. Otherwise, this market will resolve to ""No"".

The resolution source for this market is Binance, specifically the BTC/USDT ""Close"" prices currently available at https://www.binance.com/en/trade/BTC_USDT with ""1m"" and ""Candles"" selected on the top bar.

Please note that this market is about the price according to Binance BTC/USDT, not according to other sources or spot markets.

Price precision is determined by the number of decimal places in the source."
137338,What price will Bitcoin hit in January?,event,2026-02-01T05:00:00Z,,,,,,,,,,True,False,,what-price-will-bitcoin-hit-in-january-2026,What price will Bitcoin hit in January?
168468,Bitcoin above ___ on January 23?,event,2026-01-23T17:00:00Z,,,,,,,,,,True,False,,bitcoin-above-on-january-23,"This market will resolve to ""Yes"" if the Binance 1 minute candle for BTC/USDT 12:00 in the ET timezone (noon) on the date specified in the title has a final ""Close"" price higher than the price specified in the title. Otherwise, this market will resolve to ""No"".

The resolution source for this market is Binance, specifically the BTC/USDT ""Close"" prices currently available at https://www.binance.com/en/trade/BTC_USDT with ""1m"" and ""Candles"" selected on the top bar.

Please note that this market is about the price according to Binance BTC/USDT, not according to other sources or spot markets.

Price precision is determined by the number of decimal places in the source."
