id,question,slug,category,tags,clobTokenIds,outcomes,outcomePrices,conditionId,active,closed,volumeNum,volume24hr,liquidity,liquidityNum,endDate,orderPriceMinTickSize,orderMinSize,resolutionSource,acceptingOrders,openInterest,createdAt,updatedAt,description,image,icon,enableOrderBook,marketMakerAddress,funded,groupItemTitle,groupItemThreshold
137338,What price will Bitcoin hit in January?,what-price-will-bitcoin-hit-in-january-2026,,"[{""id"": ""235"", ""label"": ""Bitcoin"", ""slug"": ""bitcoin"", ""forceShow"": true, ""publishedAt"": ""2023-11-02 21:40:32.968+00"", ""updatedBy"": 15, ""createdAt"": ""2023-11-02T21:40:32.974Z"", ""updatedAt"": ""2026-01-15T22:11:08.126231Z"", ""requiresTranslation"": false}, {""id"": ""102144"", ""label"": ""Monthly"", ""slug"": ""monthly"", ""createdAt"": ""2025-05-20T14:35:15.484171Z"", ""updatedAt"": ""2026-01-16T19:21:35.758612Z"", ""requiresTranslation"": false}, {""id"": ""102134"", ""label"": ""Hit Price"", ""slug"": ""hit-price"", ""forceShow"": true, ""createdAt"": ""2025-05-13T13:37:14.286156Z"", ""updatedAt"": ""2026-01-15T22:12:09.651273Z"", ""isCarousel"": false, ""requiresTranslation"": false}, {""id"": ""21"", ""label"": ""Crypto"", ""slug"": ""crypto"", ""forceShow"": false, ""publishedAt"": ""2023-11-02 21:03:54.55+00"", ""updatedBy"": 15, ""createdAt"": ""2023-11-02T21:03:54.564Z"", ""updatedAt"": ""2026-01-16T19:21:38.888557Z"", ""requiresTranslation"": false}, {""id"": ""1312"", ""label"": ""Crypto Prices"", ""slug"": ""crypto-prices"", ""forceShow"": true, ""publishedAt"": ""2024-02-12 22:36:40.783+00"", ""createdBy"": 15, ""updatedBy"": 15, ""createdAt"": ""2024-02-12T22:34:50.962Z"", ""updatedAt"": ""2026-01-16T19:21:35.776959Z"", ""requiresTranslation"": false}, {""id"": ""101757"", ""label"": ""Recurring"", ""slug"": ""recurring"", ""forceShow"": false, ""createdAt"": ""2025-02-01T00:45:26.493838Z"", ""updatedAt"": ""2026-01-15T22:11:15.575594Z"", ""requiresTranslation"": false}]",,,,,True,False,,4158313.189722001,3266455.24407,,2026-02-01T05:00:00Z,,,,,0,2026-01-01T19:17:38.281223Z,2026-01-22T12:27:02.538927Z,What price will Bitcoin hit in January?,https://polymarket-upload.s3.us-east-2.amazonaws.com/BTC+fullsize.png,https://polymarket-upload.s3.us-east-2.amazonaws.com/BTC+fullsize.png,True,,,,
166353,Bitcoin above ___ on January 22?,bitcoin-above-on-january-22,,"[{""id"": ""235"", ""label"": ""Bitcoin"", ""slug"": ""bitcoin"", ""forceShow"": true, ""publishedAt"": ""2023-11-02 21:40:32.968+00"", ""updatedBy"": 15, ""createdAt"": ""2023-11-02T21:40:32.974Z"", ""updatedAt"": ""2026-01-15T22:11:08.126231Z"", ""requiresTranslation"": false}, {""id"": ""102264"", ""label"": ""Weekly"", ""slug"": ""weekly"", ""createdAt"": ""2025-06-11T21:22:54.932516Z"", ""updatedAt"": ""2026-01-15T22:12:19.132765Z"", ""requiresTranslation"": false}, {""id"": ""102516"", ""label"": ""Multi Strikes"", ""slug"": ""multi-strikes"", ""forceShow"": false, ""createdAt"": ""2025-08-25T15:12:27.701606Z"", ""updatedAt"": ""2026-01-15T22:12:19.105624Z"", ""isCarousel"": false, ""requiresTranslation"": false}, {""id"": ""21"", ""label"": ""Crypto"", ""slug"": ""crypto"", ""forceShow"": false, ""publishedAt"": ""2023-11-02 21:03:54.55+00"", ""updatedBy"": 15, ""createdAt"": ""2023-11-02T21:03:54.564Z"", ""updatedAt"": ""2026-01-16T19:21:38.888557Z"", ""requiresTranslation"": false}, {""id"": ""1312"", ""label"": ""Crypto Prices"", ""slug"": ""crypto-prices"", ""forceShow"": true, ""publishedAt"": ""2024-02-12 22:36:40.783+00"", ""createdBy"": 15, ""updatedBy"": 15, ""createdAt"": ""2024-02-12T22:34:50.962Z"", ""updatedAt"": ""2026-01-16T19:21:35.776959Z"", ""requiresTranslation"": false}, {""id"": ""101757"", ""label"": ""Recurring"", ""slug"": ""recurring"", ""forceShow"": false, ""createdAt"": ""2025-02-01T00:45:26.493838Z"", ""updatedAt"": ""2026-01-15T22:11:15.575594Z"", ""requiresTranslation"": false}, {""id"": ""102169"", ""label"": ""Hide From New"", ""slug"": ""hide-from-new"", ""forceShow"": false, ""createdAt"": ""2025-05-23T18:47:07.430147Z"", ""updatedAt"": ""2026-01-16T19:21:17.70526Z"", ""isCarousel"": false, ""requiresTranslation"": false}]",,,,,True,False,,2410559.5275979997,741011.78321,,2026-01-22T17:00:00Z,,,,,0,2026-01-15T17:00:11.296145Z,2026-01-22T12:27:06.943631Z,"This market will resolve to ""Yes"" if the Binance 1 minute candle for BTC/USDT 12:00 in the ET timezone (noon) on the date specified in the title has a final ""Close"" price higher than the price specified in the title. Otherwise, this market will resolve to ""No"".

The resolution source for this market is Binance, specifically the BTC/USDT ""Close"" prices currently available at https://www.binance.com/en/trade/BTC_USDT with ""1m"" and ""Candles"" selected on the top bar.

Please note that this market is about the price according to Binance BTC/USDT, not according to other sources or spot markets.

Price precision is determined by the number of decimal places in the source.",https://polymarket-upload.s3.us-east-2.amazonaws.com/BTC+fullsize.png,https://polymarket-upload.s3.us-east-2.amazonaws.com/BTC+fullsize.png,True,,,,
