id,question,slug,category,clobTokenIds,outcomes,outcomePrices,conditionId,active,closed,volumeNum,volume24hr,liquidity,liquidityNum,endDate,orderPriceMinTickSize,orderMinSize,resolutionSource,acceptingOrders,openInterest
1206890,"Solana Up or Down - January 19, 9AM ET",solana-up-or-down-january-19-9am-et,,"[""38157870339881573498988905198930979110847615205572088431535055747559145372027"", ""86510700433471945246343044650935760897283235976067998563038356200830369099656""]","[""Up"", ""Down""]","[""0.075"", ""0.925""]",0x055d042625678e6bdee6a69c61545a006995310693e9fe3b01e436113b7fe7e4,True,False,12480.750224,124.2549,3317.5271,3317.5271,2026-01-19T15:00:00Z,0.01,5,https://www.binance.com/en/trade/SOL_USDT,True,
1213310,Series: Most kills?,lol-tes-wb-2026-01-19-most-kill,,"[""31167664224609886252336166412771107941172835740936949873860153431790925855310"", ""89469860617718993448392437306461614879524645504366615480706083203578202055467""]","[""Top Esports"", ""Weibo Gaming""]","[""0.5"", ""0.5""]",0x4c1870492708a555cc56895818fda6fca1bb30c283aff129e8c1838c90e21b54,True,False,,,,,2026-01-19T15:00:00Z,0.01,5,https://liquipedia.net/leagueoflegends/,True,
1113278,LoL: EDward Gaming vs Ninjas in Pyjamas - Game 1 Winner,lol-edg-nip-2026-01-19-game1,,"[""50670362097481516078164430796691322262396775922270958080355734362453056596523"", ""109082631569109252825189402517100066570684946919315211438789814185290058213712""]","[""EDward Gaming"", ""Ninjas in Pyjamas""]","[""0.9995"", ""0.0005""]",0xc98bb9d9384a5f6e6895754da59de3476511300193397ac1856216d071adc4d5,True,False,180799.656104,121.9325,365701.88434,365701.88434,2026-01-19T15:00:00Z,0.001,5,https://www.twitch.tv/lplenglish,True,
1213389,"Solana Up or Down - January 19, 9:45AM-10:00AM ET",sol-updown-15m-1768833900,,"[""80699380738178499990769958241174287838795720949844062467282449428233515094880"", ""13052674710390509699558919157185744456469499777755890093176401175636454994240""]","[""Up"", ""Down""]","[""0.52"", ""0.48""]",0x7c3fa85563e73ed697938b41086260f6f235c57b68456ccb14333bbbe9e64f6f,True,False,3419.067989,,1672.5149,1672.5149,2026-01-19T15:00:00Z,0.01,5,https://data.chain.link/streams/sol-usd,True,
1206891,"XRP Up or Down - January 19, 9AM ET",xrp-up-or-down-january-19-9am-et,,"[""29078045197960881328742181040402297112366637199838616367291076966363613740147"", ""84949976774471878061787253057884061844219760958305809700549985823419512076515""]","[""Up"", ""Down""]","[""0.955"", ""0.045""]",0x678f868a1cc5b5e0bb8e9bb22c14c8d40c32127a4d95f57181efddc75c01ff3a,True,False,9768.145281,111.4,2620.18608,2620.18608,2026-01-19T15:00:00Z,0.001,5,https://www.binance.com/en/trade/XRP_USDT,True,
1206889,"Ethereum Up or Down - January 19, 9AM ET",ethereum-up-or-down-january-19-9am-et,,"[""34334671920259135154967442040155504963871523193754717537773903524376502600575"", ""68819437622030845744761053269398488628818950189829445692864564974459499605327""]","[""Up"", ""Down""]","[""0.055"", ""0.945""]",0x395b9e496255e9bb0b820a870d8f76d7e3cb94a3db18e1b292fa02d4bb865acf,True,False,39710.368136,,9433.2392,9433.2392,2026-01-19T15:00:00Z,0.01,5,https://www.binance.com/en/trade/ETH_USDT,True,
1213704,"Ethereum Up or Down - January 19, 10:00AM-10:05AM ET",eth-updown-5m-1768834800,,"[""62054927984270453436544537423703894013201544568908350857009088471766655451648"", ""79764130397980295787760518490967694266836606059249278232184926844672236149352""]","[""Up"", ""Down""]",,0x60a57d23feadba0009392ef4af84b71bdd47ea22f869e019138ed2c22a4dad93,True,False,0,0,0,0,2026-01-19T15:05:00Z,0.01,5,https://data.chain.link/streams/eth-usd,,
1213708,"XRP Up or Down - January 19, 10:00AM-10:05AM ET",xrp-updown-5m-1768834800,,"[""17810323156847388435541294908907248183173547374262921527464132012591442251581"", ""10083655164802767434986106784297444629821176483368846143273270189951750663459""]","[""Up"", ""Down""]",,0xe405a8a27a52e131f15dedf978ed4692fa37a1b89f38f87e209019ba7aad05d5,True,False,0,0,0,0,2026-01-19T15:05:00Z,0.01,5,https://data.chain.link/streams/xrp-usd,,
1213707,"Solana Up or Down - January 19, 10:00AM-10:05AM ET",sol-updown-5m-1768834800,,"[""19417524687674724409102368293106079484799818112873269763297736915090330848571"", ""25813830487938612294878406893709083749364964324386577604209576764673731498407""]","[""Up"", ""Down""]",,0x1b339165a8731fce2eaa564d982a77ad09d7ebfe3a1476ffdbe8580479f5e385,True,False,0,0,0,0,2026-01-19T15:05:00Z,0.01,5,https://data.chain.link/streams/sol-usd,,
1213706,"Bitcoin Up or Down - January 19, 10:00AM-10:05AM ET",btc-updown-5m-1768834800,,"[""18441103974398965742550938765305608463249968843923510463661806088807258717413"", ""45486821304765482935213961151342933221586005215799228718802969681845890298749""]","[""Up"", ""Down""]",,0x1ca60210ee6ecd4457a875463da27c0c7e1081abd7d4d18a56a2b4456cd73331,True,False,0,0,0,0,2026-01-19T15:05:00Z,0.01,5,https://data.chain.link/streams/btc-usd,,
